id,days_since_signup,days_since_job_created,days_since_client_created,days_since_invoice_created,days_since_quote_created,country,industry,industry_category,added_user_count,accepted_added_user_count,job_count,client_count,invoice_count,quote_count,call_count,chat_count,demo_count,interaction_count,activity_count,note_count,last_nps_score,last_activity_type,days_since_activity_event,custom_field_count,property_custom_field_count,percent_added_users_accepted,job_count_over_client_count,job_count_over_invoice_count,job_count_over_quote_count,client_count_over_job_count,client_count_over_invoice_count,client_count_over_quote_count,invoice_count_over_job_count,invoice_count_over_client_count,invoice_count_over_quote_count,quote_count_over_job_count,quote_count_over_client_count,quote_count_over_invoice_count,days_since_interaction,approx_days_since_any_user_login,mobile_signup,campaign_group,campaign_string,engagement_score,days_since_basic_task_completed,days_since_payment_recieved,days_since_epayments_used,time_sheet_entries_used,users_logged_in,synced_to_quickbooks,phone_number,cancellation_request,account_value,plan_code,annual_plan,year,month,renewed
55,122,26,26,26,nan,United States,Lawn Care & Lawn Maintenance,Green Industry,2,2,39,59,48,0,2,0,0,13,18,0,nan,50,18,1,0,100,0.661,0.813,0,1.513,1.229,0,1.231,0.814,0,0,0,0,19,3,FALSE,Unknown,-,,18,64,nan,TRUE,TRUE,TRUE,FALSE,FALSE,48,jobber_basic_subscription_39,FALSE,2014,10,FALSE
133,195,20,5,7,1,Other,Lawn Care & Lawn Maintenance,Green Industry,0,0,6,44,15,34,1,0,0,7,15,0,nan,61,43,4,3,0,0.136,0.4,0.176,7.333,2.933,1.294,2.5,0.341,0.441,5.667,0.773,2.267,95,5,FALSE,Paid Search,campaign(adwords),,91,4,nan,FALSE,TRUE,FALSE,TRUE,FALSE,39,jobber_basic_subscription_39,FALSE,2014,10,TRUE
467,693,1,3,nan,nan,United States,Pool and Spa Service,Other,2,2,833,11036,0,0,0,0,0,5,32,0,nan,61,43,3,1,100,0.075,0,0,13.248,0,0,0,0,0,0,0,0,660,4,FALSE,Organic Search,organic(google),,39,nan,nan,FALSE,TRUE,FALSE,TRUE,FALSE,39,jobber_basic_subscription_39,FALSE,2016,6,TRUE
1011,628,14,26,13,5,Canada,Lawn Care & Lawn Maintenance,Green Industry,3,3,181,206,850,123,1,0,0,7,33,0,nan,61,43,9,5,100,0.879,0.213,1.472,1.138,0.242,1.675,4.696,4.126,6.911,0.68,0.597,0.145,542,0,FALSE,Organic Search,organic(google),,232,9,42,TRUE,FALSE,TRUE,TRUE,FALSE,76,jobber_basic_subscription_39,FALSE,2016,1,TRUE
3367,195,17,18,17,18,United States,Other,Other,0,0,31,28,28,16,2,5,0,11,22,0,10,61,43,6,1,0,1.107,1.107,1.938,0.903,1,1.75,0.903,1,1.75,0.516,0.571,0.571,137,18,FALSE,Paid Search,campaign(adwords),70,195,18,nan,FALSE,TRUE,FALSE,TRUE,FALSE,59,monthly_59_basicpro,FALSE,2016,8,FALSE
1150,438,286,2,2,2,United States,Lawn Care & Lawn Maintenance,Green Industry,0,0,6,104,298,40,0,0,0,7,25,0,nan,61,42,0,0,0,0.058,0.02,0.15,17.333,0.349,2.6,49.667,2.865,7.45,6.667,0.385,0.134,344,3,FALSE,Paid Search,campaign(adwords),,1,2,nan,FALSE,FALSE,FALSE,TRUE,FALSE,39,jobber_basic_subscription_39,FALSE,2015,6,TRUE
326,195,190,177,175,190,United States,Plumbing,Trade,5,1,1,103,227,1,0,0,0,6,14,0,nan,61,43,1,0,20,0.01,0.004,1,103,0.454,103,227,2.204,227,1,0.01,0.004,100,156,FALSE,Paid Listing,campaign(getapp|get_app|getapp),,nan,168,nan,TRUE,FALSE,FALSE,TRUE,FALSE,53,jobber_basic_subscription_39,FALSE,2014,11,FALSE
95,148,15,11,12,11,United States,Flooring Service,Other,0,0,37,50,29,54,2,0,0,12,20,0,nan,61,43,0,0,0,0.74,1.276,0.685,1.351,1.724,0.926,0.784,0.58,0.537,1.459,1.08,1.862,95,24,TRUE,Unknown,-,,68,23,23,TRUE,FALSE,TRUE,TRUE,FALSE,67,jobber_basic_subscription_39,FALSE,2014,12,TRUE
1739,191,5,8,5,nan,Canada,Residential Cleaning,Cleaning,15,12,153,55,284,0,1,0,0,1,13,0,nan,61,21,3,0,80,2.782,0.539,0,0.359,0.194,0,1.856,5.164,0,0,0,0,167,1,FALSE,Direct,direct,80,10,1,nan,FALSE,FALSE,FALSE,FALSE,FALSE,48,jobber_basic_subscription_39,FALSE,2015,10,TRUE
1115,42,32,32,nan,33,United States,Lawn Care & Lawn Maintenance,Green Industry,0,0,18,17,0,1,0,0,1,7,12,0,nan,2,7,0,0,0,1.059,0,18,0.944,0,17,0,0,0,0.056,0.059,0,7,36,TRUE,Direct,direct,30,nan,nan,nan,FALSE,TRUE,FALSE,FALSE,FALSE,39,jobber_basic_subscription_39,FALSE,2015,6,FALSE
1950,507,282,3,nan,3,United States,Flooring Service,Other,4,3,6,289,0,88,1,0,0,4,21,0,nan,61,42,1,0,75,0.021,0,0.068,48.167,0,3.284,0,0,0,14.667,0.304,0,390,5,FALSE,Intuit,campaign(intuit_appcenter|try_buy),30,391,nan,nan,FALSE,TRUE,TRUE,FALSE,FALSE,48,jobber_basic_subscription_39,FALSE,2015,12,TRUE
1242,603,23,23,2,36,United States,Lawn Care & Lawn Maintenance,Green Industry,1,0,82,102,441,61,2,0,0,6,32,1,nan,61,43,4,3,0,0.804,0.186,1.344,1.244,0.231,1.672,5.378,4.324,7.23,0.744,0.598,0.138,402,4,FALSE,Organic Search,organic(google),,598,2,2,FALSE,FALSE,FALSE,TRUE,FALSE,44,jobber_basic_subscription_39,FALSE,2015,7,TRUE
1415,564,3,4,3,4,United States,Window Washing,Cleaning,0,0,281,484,61,269,3,0,0,11,33,0,nan,61,43,5,3,0,0.581,4.607,1.045,1.722,7.934,1.799,0.217,0.126,0.227,0.957,0.556,4.41,325,3,FALSE,Display,campaign(adwords|googleremarketing),,nan,4,57,FALSE,TRUE,FALSE,TRUE,FALSE,44,jobber_basic_subscription_39,FALSE,2015,8,TRUE
302,284,193,183,26,197,United States,Lawn Care & Lawn Maintenance,Green Industry,4,4,12,14,61,3,1,0,0,6,21,0,nan,61,42,4,3,100,0.857,0.197,4,1.167,0.23,4.667,5.083,4.357,20.333,0.25,0.214,0.049,165,26,FALSE,Organic Search,organic(google),,186,108,nan,TRUE,TRUE,FALSE,TRUE,FALSE,53,jobber_basic_subscription_39,FALSE,2014,11,FALSE
