id,days_since_signup,days_since_job_created,days_since_client_created,days_since_invoice_created,days_since_quote_created,country,industry,industry_category,added_user_count,accepted_added_user_count,job_count,client_count,invoice_count,quote_count,call_count,chat_count,demo_count,interaction_count,activity_count,note_count,last_nps_score,last_activity_type,days_since_activity_event,custom_field_count,property_custom_field_count,percent_added_users_accepted,job_count_over_client_count,job_count_over_invoice_count,job_count_over_quote_count,client_count_over_job_count,client_count_over_invoice_count,client_count_over_quote_count,invoice_count_over_job_count,invoice_count_over_client_count,invoice_count_over_quote_count,quote_count_over_job_count,quote_count_over_client_count,quote_count_over_invoice_count,days_since_interaction,approx_days_since_any_user_login,mobile_signup,campaign_group,campaign_string,engagement_score,days_since_basic_task_completed,days_since_payment_recieved,days_since_epayments_used,time_sheet_entries_used,users_logged_in,synced_to_quickbooks,phone_number,cancellation_request,account_value,plan_code,annual_plan,year,month,renewed
974,150,48,48,33,nan,Other,Lawn Care & Lawn Maintenance,Green Industry,12,1,89,43,128,0,0,0,1,11,23,0,0,31,15,0,0,8.333333333333332,2.07,0.695,0.0,0.483,0.336,0.0,1.438,2.977,0.0,0.0,0.0,0.0,82,6,false,Organic Search,organic(google),10,82,15,nan,false,false,false,false,true,39.0,jobber_basic_subscription_39,false,2015,5,false
3350,212,14,3,10,17,Canada,Lawn Care & Lawn Maintenance,Green Industry,21,12,530,773,451,276,2,25,0,27,53,1,7,31,1,4,3,57.14285714285714,0.686,1.175,1.92,1.458,1.714,2.801,0.851,0.583,1.634,0.521,0.357,0.612,142,3,false,Paid Search,campaign(adwords),50,53,8,nan,true,true,true,true,true,0.0,monthly_59_basicpro,false,2016,8,false
1563,104,102,28,13,104,United States,Plumbing,Trade,0,0,2,11,55,1,1,0,1,5,13,0,nan,61,43,1,0,0.0,0.182,0.036,2.0,5.5,0.2,11.0,27.5,5.0,55.0,0.5,0.091,0.018,50,13,false,Direct,direct,40,nan,13,nan,false,true,false,true,false,64.0,monthly_59,false,2015,9,false
565,317,253,246,247,246,United States,Handyman,Other,8,6,142,3678,55,96,5,0,0,30,45,0,nan,61,42,6,0,75.0,0.039,2.582,1.479,25.901,66.873,38.313,0.387,0.015,0.573,0.676,0.026,1.745,219,38,false,Intuit,linked_by(appcenter.intuit.com),"",252,250,nan,false,false,true,true,false,39.0,jobber_basic_subscription_39,false,2015,1,true
1433,196,24,24,76,85,United States,Window Washing,Cleaning,2,2,15,19,5,7,2,0,0,5,19,1,nan,2,11,1,0,100.0,0.789,3.0,2.143,1.267,3.8,2.714,0.333,0.263,0.714,0.467,0.368,1.4,11,12,true,Direct,direct,40,nan,76,nan,true,true,false,true,true,48.0,jobber_basic_subscription_39,false,2015,8,false
2203,30,30,30,nan,nan,Other,Landscaping Contractor,Green Industry,4,3,1,145,0,0,0,6,0,7,18,1,nan,7,14,3,2,75.0,0.007,0.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,15,false,Organic Search,organic(google),10,nan,nan,nan,false,false,false,true,true,0.0,monthly_59_basicpro,false,2016,2,false
880,680,57,263,57,168,United States,Lawn Care & Lawn Maintenance,Green Industry,19,1,119,70,364,31,8,0,0,11,39,1,nan,54,13,4,3,5.263157894736842,1.7,0.327,3.839,0.588,0.192,2.258,3.059,5.2,11.742,0.261,0.443,0.085,314,28,false,Paid Listing,campaign(capterra|capterra_landscape),"",163,27,nan,true,false,false,true,false,34.0,base_plan_usd,false,2015,4,true
266,199,45,6,43,136,United States,Residential Cleaning,Cleaning,6,1,32,34,48,1,0,0,1,12,23,1,nan,31,33,6,3,16.666666666666664,0.941,0.667,32.0,1.063,0.708,34.0,1.5,1.412,48.0,0.031,0.029,0.021,45,33,false,Paid Listing,campaign(capterra|capterra_maid_services),"",198,43,nan,true,true,true,true,false,44.0,jobber_basic_subscription_39,false,2014,11,false
3198,608,274,260,277,278,United States,Window Washing,Cleaning,9,8,1450,4195,1378,2,1,0,0,2,41,2,nan,31,27,4,0,88.88888888888889,0.346,1.052,725.0,2.893,3.044,2097.5,0.95,0.328,689.0,0.001,0.0,0.001,544,8,false,Unknown,-,0,271,237,nan,true,false,true,true,true,0.0,jobber_basic_subscription_39,false,2016,8,false
1498,492,205,205,162,213,United States,Other,Other,11,3,4,8,2,3,1,0,0,11,27,1,nan,31,0,17,13,27.27272727272727,0.5,2.0,1.333,2.0,4.0,2.667,0.5,0.25,0.667,0.75,0.375,1.5,224,0,false,Organic Search,organic(google),30,260,205,nan,false,false,false,true,true,39.0,jobber_basic_subscription_39,false,2015,9,false
2262,42,39,39,39,nan,Canada,Residential Cleaning,Cleaning,1,0,1,1,1,0,0,0,0,0,4,0,nan,8,39,0,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,nan,39,false,Unknown,-,0,nan,nan,nan,false,true,false,false,false,77.0,monthly_59_basicpro,false,2016,2,false
2814,444,nan,15,15,nan,United States,Other,Other,0,0,0,39,30,0,4,1,0,7,23,6,nan,50,1,0,0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.769,0.0,0.0,0.0,0.0,39,0,false,Organic Search,organic(google),10,444,nan,nan,false,true,false,false,false,59.0,monthly_59_basicpro,false,2016,6,true
224,346,9,15,9,15,United States,Lawn Care & Lawn Maintenance,Green Industry,1,1,19,26,72,11,4,0,0,13,28,0,nan,54,17,1,0,100.0,0.731,0.264,1.727,1.368,0.361,2.364,3.789,2.769,6.545,0.579,0.423,0.153,242,3,false,Paid Search,campaign(adwords),"",276,10,nan,false,true,false,true,false,39.0,jobber_basic_subscription_39,false,2015,4,true
799,808,3,5,2,5,United States,Lawn Care & Lawn Maintenance,Green Industry,2,0,52,92,171,40,2,0,0,7,33,0,nan,61,43,5,3,0.0,0.565,0.304,1.3,1.769,0.538,2.3,3.288,1.859,4.275,0.769,0.435,0.234,577,5,false,Organic Search,organic(google),70,58,45,51,false,false,false,true,false,44.0,jobber_basic_subscription_39,false,2016,7,true
3010,408,41,88,6,239,Other,Commercial Cleaning,Cleaning,36,3,68,11,100,2,0,0,0,14,25,0,nan,2,44,4,0,8.333333333333332,6.182,0.68,34.0,0.162,0.11,5.5,1.471,9.091,50.0,0.029,0.182,0.02,44,6,false,Paid Search,campaign(adwords),80,233,10,nan,true,false,false,false,false,39.0,annual_39,true,2016,7,true
1566,805,301,33,33,50,United States,Lawn Care & Lawn Maintenance,Green Industry,0,0,3,40,23,33,7,0,0,14,45,1,nan,61,43,1,0,0.0,0.075,0.13,0.091,13.333,1.739,1.212,7.667,0.575,0.697,11.0,0.825,1.435,477,2,false,Paid Search,campaign(adwords),"",nan,111,nan,false,true,false,true,false,29.0,base_plan_usd,false,2015,9,true
477,104,40,40,40,nan,Canada,Plumbing,Trade,3,3,16,987,6,0,2,0,0,7,11,0,nan,2,12,1,0,100.0,0.016,2.667,0.0,61.688,164.5,0.0,0.375,0.006,0.0,0.0,0.0,0.0,12,21,false,Intuit,campaign(Intuit Canada|Intuit Canada Add Ons),90,43,43,nan,true,true,true,false,true,71.0,jobber_basic_subscription_39,false,2014,12,false
294,1160,83,4,3,444,United States,Lawn Care & Lawn Maintenance,Green Industry,0,0,66,55,209,1,5,9,3,40,81,1,nan,56,6,5,3,0.0,1.2,0.316,66.0,0.833,0.263,55.0,3.167,3.8,209.0,0.015,0.018,0.005,13,6,false,Paid Listing,campaign(getapp|get_app|getapp),70,485,4,nan,true,true,false,true,false,39.0,jobber_basic_subscription_39,false,2016,7,true
114,875,2,2,nan,nan,United States,Residential Cleaning,Cleaning,15,13,96,93,0,0,6,21,0,42,94,3,10,7,24,12,0,86.66666666666667,1.032,0.0,0.0,0.969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,4,false,Paid Search,campaign(adwords),"",18,nan,nan,true,false,false,true,false,39.0,jobber_basic_subscription_39,false,2016,2,true
